timestamp,ax,ay,az,gx,gy,gz,label
39357,0.196045,-0.669556,-0.450684,-128.417969,-163.085922,-44.55566,infinity
39368,0.187134,-0.741577,-0.397705,-87.402336,-166.381821,-53.649899,infinity
39380,0.199219,-0.865601,-0.347534,-59.93652,-156.005859,-59.509274,infinity
39391,0.222656,-1.009277,-0.293213,-57.861324,-135.742188,-61.096188,infinity
39402,0.235596,-1.100586,-0.252686,-84.83886,-110.229485,-59.326168,infinity
39414,0.238037,-1.091675,-0.259399,-182.556137,-70.617676,-59.143063,infinity
39425,0.240356,-1.004761,-0.291138,-220.092758,-70.129395,-66.345215,infinity
39436,0.241821,-0.890259,-0.295288,-231.079086,-80.383293,-76.35498,infinity
39448,0.219238,-0.764893,-0.186157,-213.684067,-93.444817,-84.96093,infinity
39459,0.193237,-0.790283,-0.122437,-178.649887,-101.135246,-88.684074,infinity
39471,0.180908,-0.847534,-0.085205,-142.272949,-99.609367,-86.97509,infinity
39482,0.180786,-0.91687,-0.056274,-117.004387,-91.491692,-81.970207,infinity
39493,0.16748,-0.980835,-0.026123,-111.938469,-72.875977,-75.561523,infinity
39505,0.142456,-1.023071,-0.008057,-128.662109,-66.894531,-79.223633,infinity
39516,0.11792,-1.03479,-0.000977,-151.062012,-64.086914,-88.500969,infinity
39527,0.10144,-1.018066,0.002563,-171.691879,-64.453125,-100.524895,infinity
39539,0.082886,-0.921143,0.066528,-182.983383,-66.101074,-110.595695,infinity
39550,0.082397,-0.876221,0.098145,-179.687485,-65.979004,-115.234367,infinity
39562,0.062988,-0.856567,0.142334,-161.132797,-64.819336,-113.159172,infinity
39573,0.029175,-0.871826,0.196411,-139.831543,-61.645504,-105.895988,infinity
39584,0.016602,-0.905518,0.224487,-121.398918,-42.907711,-93.872063,infinity
39596,-0.003296,-0.923706,0.241455,-119.567863,-35.400391,-92.65136,infinity
39607,-0.033813,-0.927124,0.252075,-123.779289,-31.921385,-95.642082,infinity
39618,-0.077881,-0.894165,0.267944,-132.141113,-30.517576,-102.783195,infinity
39630,-0.083374,-0.873291,0.27478,-141.052246,-29.96826,-112.609856,infinity
39641,-0.088135,-0.845825,0.292114,-148.254395,-29.602049,-122.375481,infinity
39653,-0.087769,-0.810425,0.321899,-151.306152,-27.770994,-129.150391,infinity
39664,-0.09082,-0.783569,0.354492,-148.010254,-23.132322,-131.652832,infinity
39675,-0.111572,-0.778931,0.380981,-127.441399,-11.413573,-127.624504,infinity
39687,-0.140991,-0.789795,0.396729,-118.164055,-7.93457,-124.816887,infinity
39698,-0.168823,-0.804932,0.40332,-115.295403,-6.896972,-123.535149,infinity
39709,-0.210815,-0.794067,0.411011,-117.675774,-8.178711,-123.779289,infinity
39721,-0.229248,-0.766113,0.434082,-122.192375,-10.681151,-125.061028,infinity
39732,-0.252686,-0.746216,0.452759,-126.586906,-13.000487,-126.892082,infinity
39744,-0.280396,-0.737427,0.470337,-128.417969,-15.380858,-128.78418,infinity
39755,-0.306885,-0.732666,0.497803,-128.234863,-17.51709,-130.79834,infinity
39766,-0.331665,-0.718018,0.531128,-126.464836,-15.624999,-134.033203,infinity
39778,-0.351685,-0.692383,0.560425,-123.90136,-10.0708,-135.192871,infinity
39789,-0.367432,-0.672485,0.584351,-120.971672,-3.051758,-136.169434,infinity
39800,-0.406738,-0.65271,0.615845,-119.628899,3.417969,-136.657715,infinity
39812,-0.426636,-0.622314,0.629639,-120.056145,7.568359,-136.169434,infinity
39823,-0.447021,-0.583984,0.650146,-120.178215,9.277344,-134.765625,infinity
39834,-0.464844,-0.547119,0.669922,-118.041985,10.009766,-132.873535,infinity
39846,-0.477661,-0.522095,0.678711,-108.337395,12.023925,-130.92041,infinity
39857,-0.489014,-0.514404,0.679932,-106.262199,12.817382,-132.263184,infinity
39868,-0.499634,-0.506714,0.682983,-107.360832,13.732909,-134.82666,infinity
39880,-0.506104,-0.48645,0.696167,-109.619133,15.624999,-137.451172,infinity
39891,-0.523193,-0.440918,0.747559,-111.328117,19.40918,-139.038086,infinity
39902,-0.53479,-0.411377,0.771484,-111.450188,25.390623,-138.671875,infinity
39914,-0.543823,-0.375488,0.790405,-109.374992,32.287598,-136.230469,infinity
39925,-0.550781,-0.340942,0.801025,-104.553215,38.757324,-132.263184,infinity
39937,-0.553223,-0.313965,0.803101,-89.416496,46.44775,-122.741692,infinity
39948,-0.554077,-0.295898,0.797241,-83.19091,46.813961,-119.750969,infinity
39959,-0.552734,-0.279175,0.790405,-79.345703,45.288082,-118.530266,infinity
39971,-0.541504,-0.245972,0.796631,-77.209473,43.273922,-118.713371,infinity
39982,-0.5354,-0.22876,0.804199,-76.11084,42.41943,-118.896477,infinity
39993,-0.529419,-0.21106,0.815063,-74.462891,42.968746,-117.553703,infinity
40005,-0.523315,-0.195312,0.830933,-70.3125,44.55566,-113.586418,infinity
40016,-0.519531,-0.179688,0.847534,-63.354488,46.936031,-106.689445,infinity
40028,-0.516235,-0.164062,0.858643,-46.813961,52.795406,-86.791985,infinity
40039,-0.512817,-0.148315,0.861938,-39.733887,54.809566,-77.148438,infinity
40050,-0.511353,-0.137573,0.858398,-34.973145,54.687496,-70.617676,infinity
40062,-0.502563,-0.132202,0.835449,-33.14209,52.001949,-68.725586,infinity
40073,-0.493042,-0.131226,0.837891,-33.996582,47.851559,-70.800781,infinity
40085,-0.484741,-0.125488,0.848999,-36.92627,44.799801,-74.462891,infinity
40096,-0.475708,-0.112061,0.864258,-39.733887,44.799801,-77.026367,infinity
40107,-0.466187,-0.095337,0.884644,-40.40527,48.095699,-76.904297,infinity
40119,-0.457153,-0.0802,0.906372,-32.348633,60.729977,-66.345215,infinity
40130,-0.450439,-0.065552,0.917969,-25.817869,67.138672,-57.739254,infinity
40142,-0.446411,-0.057739,0.912231,-20.629881,70.678711,-50.537106,infinity
40153,-0.435181,-0.056641,0.879395,-18.981934,70.373535,-47.241207,infinity
40164,-0.420654,-0.042358,0.868774,-21.057127,66.589355,-48.278805,infinity
40176,-0.399048,-0.02478,0.870239,-24.536131,60.852047,-51.635738,infinity
40187,-0.376587,-0.010986,0.885986,-26.672361,55.297848,-54.26025,infinity
40198,-0.356689,-0.002197,0.913696,-22.705076,55.053707,-49.987789,infinity
40210,-0.340942,0.000488,0.942017,-17.63916,62.744137,-43.457027,infinity
40221,-0.328247,0.00061,0.95752,-13.610839,72.937012,-36.132812,infinity
40233,-0.317993,-0.009399,0.937012,-13.366698,81.420891,-29.96826,infinity
40244,-0.314087,0.008179,0.906616,-17.51709,83.435051,-26.733397,infinity
40255,-0.307251,0.033569,0.890381,-23.193357,76.599121,-27.9541,infinity
40267,-0.297729,0.046021,0.90271,-26.18408,63.96484,-32.775879,infinity
40278,-0.285889,0.046265,0.933228,-24.963377,52.551266,-37.536621,infinity
40289,-0.270752,0.04248,0.96521,-12.817382,50.23193,-34.362793,infinity
40301,-0.258057,0.039062,0.989624,-3.356933,59.570309,-26.245115,infinity
40312,-0.253296,0.030029,1.001099,6.958007,72.692871,-17.150879,infinity
40323,-0.263672,-0.027344,0.996704,13.427733,85.693352,-10.131835,infinity
40335,-0.260376,-0.044189,0.979858,11.779784,93.811028,-7.080078,infinity
40346,-0.24292,-0.027832,0.953125,3.356933,93.749992,-8.239746,infinity
40357,-0.214722,0.009521,0.940796,-6.04248,84.106438,-12.695312,infinity
40368,-0.189819,0.042725,0.957031,-10.986327,67.810059,-17.76123,infinity
40380,-0.174316,0.053833,0.988525,-0.427246,41.259762,-18.188477,infinity
40391,-0.163452,0.049072,1.01416,10.803222,39.672852,-13.183593,infinity
40402,-0.15625,0.035034,1.024414,21.057127,44.921871,-7.446289,infinity
40414,-0.143921,-0.016602,1.026123,26.733397,53.222652,-2.624511,infinity
40425,-0.137573,-0.033447,1.021118,25.878904,60.913082,0.305176,infinity
40436,-0.124634,-0.02771,1.011475,19.104004,64.819336,0.854492,infinity
40447,-0.103882,-0.002075,1.005981,9.94873,63.232418,-0.610352,infinity
40458,-0.082642,0.028809,1.006592,3.112793,57.312008,-2.746582,infinity
40470,-0.067505,0.050781,1.006714,1.464844,49.987789,-3.540039,infinity
40481,-0.059448,0.057739,1.00647,11.230468,41.687008,-0.488281,infinity
40492,-0.054321,0.050049,1.01062,17.39502,43.090816,1.770019,infinity
40503,-0.048462,0.034668,1.020508,22.033689,48.950191,4.333496,junk
40514,-0.042114,0.004028,1.023438,24.29199,57.495113,6.835937,junk
40526,-0.034424,-0.006226,1.017334,22.27783,64.208984,8.178711,junk
40537,-0.018799,-0.002197,1.00769,15.747069,64.819336,7.324218,junk
40548,0.001831,0.016479,0.995483,8.544922,58.04443,4.516602,junk
40560,0.015869,0.031128,0.983521,5.432128,45.898434,1.342773,junk
40571,0.018311,0.034912,0.971924,15.99121,22.27783,0.244141,junk
40582,0.015625,0.034058,0.970947,27.038572,17.578125,2.868652,junk
40593,0.011597,0.023193,0.984741,38.452148,18.798828,6.713867,junk
40605,0.006958,0.001831,0.998413,47.119137,23.986814,10.253905,junk
40616,0.005615,-0.072388,1.000488,49.499508,30.09033,11.96289,junk
40627,0.014404,-0.098022,1.001587,42.236324,34.545898,10.925292,junk
40638,0.028687,-0.088135,1.004517,27.221678,35.705566,7.8125,junk
40650,0.04187,-0.049438,1.005371,11.901855,32.958984,3.90625,junk
40661,0.051636,-0.010864,1.007324,3.356933,27.160643,0.915527,junk
40672,0.058716,0.005371,1.01355,10.0708,15.258788,-0.305176,junk
40683,0.064575,0.003418,1.015503,18.615723,12.573241,0.976562,junk
40695,0.067749,-0.009399,1.012817,24.780272,11.96289,2.685547,junk
40706,0.066284,-0.043945,1.008057,26.30615,12.939452,4.150391,junk
40717,0.067383,-0.053833,1.001099,23.193357,13.97705,4.760742,junk
40729,0.070801,-0.058838,0.994995,17.089844,13.549804,3.90625,junk
40740,0.075928,-0.05603,0.991455,10.375976,11.169433,1.770019,junk
40751,0.078979,-0.045288,0.989502,5.554199,7.629394,-0.793457,junk
40762,0.078247,-0.036133,0.987305,5.432128,0.549316,-3.295898,junk
40773,0.075806,-0.035522,0.987671,8.117676,-1.220703,-3.234863,junk
40785,0.073975,-0.042847,0.990601,10.681151,-1.525879,-2.319336,junk
40796,0.072266,-0.052856,0.993896,12.329101,-1.159668,-0.793457,junk
40807,0.065674,-0.068237,1.000977,12.939452,-0.427246,0.854492,junk
40818,0.064087,-0.07666,1.001587,12.634276,0.12207,1.770019,junk
