timestamp,ax,ay,az,gx,gy,gz
173429,0.310669,-0.291992,0.915039,0.366211,-1.708984,-0.183105
173440,0.310181,-0.291626,0.914917,0.061035,-1.098633,0.122070
173451,0.310791,-0.289917,0.916504,-0.122070,-0.976562,0.366211
173462,0.311035,-0.287964,0.918213,-0.427246,-0.854492,0.488281
173473,0.310059,-0.286743,0.919067,-0.610352,-0.427246,0.366211
173485,0.309448,-0.283691,0.915771,-0.610352,0.427246,0.061035
173496,0.311401,-0.283936,0.910889,-0.488281,1.464844,-0.244141
173507,0.314697,-0.286255,0.904785,0.122070,2.258301,-0.549316
173518,0.316650,-0.291992,0.901489,1.037598,2.258301,-1.098633
173530,0.314941,-0.299561,0.903320,1.647949,1.342773,-1.770019
173541,0.309570,-0.304565,0.906250,0.976562,-0.061035,-1.831055
173552,0.304077,-0.306152,0.906494,0.366211,0.366211,-1.464844
173563,0.301636,-0.305054,0.903809,0.183105,1.464844,-1.098633
173574,0.303345,-0.301147,0.899292,0.183105,2.563476,-0.671387
173586,0.313965,-0.289795,0.892822,0.549316,3.051758,-0.244141
173597,0.319946,-0.286011,0.891846,1.770019,2.685547,0.061035
173608,0.324219,-0.284424,0.891968,3.356933,1.647949,0.122070
173619,0.324341,-0.285156,0.893066,4.455566,0.122070,0.061035
173631,0.321655,-0.288330,0.895142,4.760742,-1.281738,-0.305176
173642,0.317627,-0.292969,0.897217,3.356933,-2.380371,-1.281738
173653,0.313599,-0.299438,0.899536,2.014160,-2.014160,-1.708984
173664,0.311401,-0.306030,0.901733,0.122070,-1.403808,-1.770019
173675,0.314819,-0.306396,0.901855,-1.953125,-0.793457,-1.403808
173687,0.318726,-0.303467,0.901855,-3.295898,-0.610352,-0.854492
173698,0.321777,-0.301758,0.902710,-3.295898,-1.159668,-0.366211
173709,0.322388,-0.302856,0.904541,-2.197266,-2.502441,0.000000
173720,0.320679,-0.306763,0.908325,-0.671387,-4.150391,0.183105
173732,0.317871,-0.310059,0.915527,0.915527,-6.408691,0.610352
173743,0.313965,-0.310669,0.924194,0.488281,-6.469726,0.732422
173754,0.310303,-0.307983,0.931274,-0.549316,-5.798339,0.976562
173765,0.308594,-0.302368,0.935181,-1.403808,-4.699707,1.342773
173777,0.311035,-0.284790,0.932861,-1.708984,-3.479004,1.708984
